systemId,from,to,tpdKernelPatch,tpdKernelPatchPrevious,vvCountHistVlun,vvCountHistVlunPrevious,totalWriteIOsHistVlun,totalWriteIOsHistPortTargets,delAcks,delAcksPct,writesGt16s,writesGt32msPct,writesGt64msPct,writesGt128msPct,writesGt256msPct,writesGt512msPct,writesGt1024msPct,writesGt2048msPct,writesGt4096msPct,writes0_062msPct,writes0_125msPct,writes0_25msPct,writes0_5msPct,writes1msPct,writes2msPct,writes4msPct,writes8msPct,writes16msPct,writes32msPct,writes64msPct,writes128msPct,writes256msPct,writes512msPct,writes1024msPct,writes2048msPct,writes4096msPct,writes8192msPct,writes16384msPct,writes32768msPct,writes65536msPct,readsGt32msPct,readsGt64msPct,readsGt128msPct,readsGt256msPct,readsGt512msPct,readsGt1024msPct,readsGt2048msPct,readsGt4096msPct,reads0_062msPct,reads0_125msPct,reads0_25msPct,reads0_5msPct,reads1msPct,reads2msPct,reads4msPct,reads8msPct,reads16msPct,reads32msPct,reads64msPct,reads128msPct,reads256msPct,reads512msPct,reads1024msPct,reads2048msPct,reads4096msPct,reads8192msPct,reads16384msPct,reads32768msPct,reads65536msPct,totalsGt32msPct,totalsGt64msPct,totalsGt128msPct,totalsGt256msPct,totalsGt512msPct,totalsGt1024msPct,totalsGt2048msPct,totalsGt4096msPct,totals0_062msPct,totals0_125msPct,totals0_25msPct,totals0_5msPct,totals1msPct,totals2msPct,totals4msPct,totals8msPct,totals16msPct,totals32msPct,totals64msPct,totals128msPct,totals256msPct,totals512msPct,totals1024msPct,totals2048msPct,totals4096msPct,totals8192msPct,totals16384msPct,totals32768msPct,totals65536msPct,portReadBandwidthMBPS,portWriteBandwidthMBPS,portTotalBandwidthMBPS,cpuLatestSysAvgPct,cpuLatestUserAvgPct,cpuLatestTotalAvgPct,cpuLatestSysMaxPct,cpuLatestUserMaxPct,cpuLatestTotalMaxPct,portReadAvgIOSizeKB,portWriteAvgIOSizeKB,portTotalAvgIOSizeKB,ddsSizeUsedTiB,nodeUpSinceMostRecent,nodeCountOffline,nodeCountMissing,ddsSizeUsedTiBPrevious
"2883","2016-07-04 01:50:47","2016-07-05 00:39:34","3.2.2.454 (P27)","3.2.2.454 (P27)","9","9","3.4147474E7","3.4148864E7","18560","0.05","0","7.3","0.01","0.002","0.000","0.000","0","0","0","0","0","24.9","31.0","14.1","8.2","3.2","7.4","2.5","1.4","7.2","0.01","0.001","0.000","0.000","0","0","0","0","0","0","0.71","0.01","0.000","0.000","0","0","0","0","0","10.8","30.7","27.1","16.1","9.3","2.4","1.2","0.64","1.1","0.70","0.01","0.000","0.000","0","0","0","0","0","0","0","4.005","0.01","0.001","0.0","0.0","0.0","0.0","0.0","0.0","5.4","27.799999999999997","29.05","15.100000000000001","8.75","2.8","4.3","1.57","1.25","3.95","0.01","5.0E-4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.694","6.384","12.078","0","0","0","0","0","0","62.288000000000004","28.359","53.16437499999999","2.4699999999999998","2016-06-21 07:18:38","0","0","2.4699999999999998"
"2883","2016-07-05 00:39:34","2016-07-05 23:28:21","3.2.2.454 (P27)","3.2.2.454 (P27)","9","9","3.4440418E7","3.4439684E7","21912","0.06","0","6.4","0.01","0.001","0.000","0","0","0","0","0","0","25.3","32.0","14.3","7.8","3.1","6.9","2.5","1.7","6.4","0.01","0.001","0.000","0","0","0","0","0","0","0","0.62","0.01","0.000","0","0","0","0","0","0","10.0","27.3","23.1","26.4","8.4","1.9","0.91","0.47","1.1","0.61","0.01","0.000","0","0","0","0","0","0","0","0","3.5100000000000002","0.01","5.0E-4","0.0","0.0","0.0","0.0","0.0","0.0","5.0","26.3","27.55","20.35","8.1","2.5","3.9050000000000002","1.4849999999999999","1.4","3.5050000000000003","0.01","5.0E-4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.614","6.384","14.998000000000001","0","0","0","0","1","1","81.60000000000001","27.811000000000003","63.639375","2.4699999999999998","2016-06-21 07:18:38","0","0","2.4699999999999998"
"2883","2016-07-05 23:28:21","2016-07-06 22:17:13","3.2.2.454 (P27)","3.2.2.454 (P27)","9","9","3.48213E7","3.482115E7","15782","0.05","0","7.3","0.01","0.001","0.000","0.000","0","0","0","0","0","24.8","32.9","13.6","7.5","3.0","6.9","2.4","1.6","7.3","0.01","0.001","0.000","0.000","0","0","0","0","0","0","0.76","0.005","0.000","0","0","0","0","0","0","12.2","35.1","25.6","16.9","5.0","1.6","1.1","0.60","1.1","0.76","0.004","0.000","0","0","0","0","0","0","0","0","4.03","0.0075","5.0E-4","0.0","0.0","0.0","0.0","0.0","0.0","6.1","29.950000000000003","29.25","15.25","6.25","2.3","4.0","1.5","1.35","4.03","0.007","5.0E-4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.234","6.08","10.314","3","2","5","4","5","9","53.85600000000001","26.441000000000003","47.203125","2.4699999999999998","2016-06-21 07:18:37","0","0","2.4699999999999998"
"2883","2016-07-06 22:17:13","2016-07-08 01:39:53","3.2.2.454 (P27)","3.2.2.454 (P27)","9","9","4.2688058E7","4.268827E7","21914","0.05","0","7.0","0.01","0.002","0.001","0.000","0","0","0","0","0","25.3","33.9","12.8","7.2","3.0","6.7","2.4","1.8","7.0","0.01","0.001","0.001","0.000","0","0","0","0","0","0","0.61","0.01","0.000","0.000","0","0","0","0","0","10.0","26.6","23.4","24.7","10.3","2.0","0.94","0.45","1.0","0.60","0.01","0.000","0.000","0","0","0","0","0","0","0","3.805","0.01","0.001","5.0E-4","0.0","0.0","0.0","0.0","0.0","5.0","25.950000000000003","28.65","18.75","8.75","2.5","3.8200000000000003","1.425","1.4","3.8","0.01","5.0E-4","5.0E-4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.49","6.08","15.57","3","2","5","4","5","9","86.632","26.167000000000005","65.403125","2.4699999999999998","2016-06-21 07:18:38","0","0","2.4699999999999998"
"2883","2016-07-08 01:39:53","2016-07-09 00:28:42","3.2.2.454 (P27)","3.2.2.454 (P27)","9","9","3.2666308E7","3.2664448E7","16418","0.05","0","7.2","0.01","0.004","0.002","0.000","0","0","0","0","0","23.9","31.5","14.0","8.0","3.2","7.6","2.8","1.7","7.2","0.01","0.002","0.002","0.000","0","0","0","0","0","0","0.61","0.01","0.000","0.000","0","0","0","0","0","8.6","24.7","24.0","24.0","12.2","3.1","1.1","0.44","1.2","0.60","0.01","0.000","0.000","0","0","0","0","0","0","0","3.9050000000000002","0.01","0.002","0.001","0.0","0.0","0.0","0.0","0.0","4.3","24.299999999999997","27.75","19.0","10.1","3.1500000000000004","4.35","1.6199999999999999","1.45","3.9","0.01","0.001","0.001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.052","6.08","15.132","0","0","0","0","1","1","93.976","28.085","70.754375","2.4699999999999998","2016-06-21 07:18:38","0","0","2.4699999999999998"
"2883","2016-07-09 00:28:42","2016-07-09 23:17:31","3.2.2.454 (P27)","3.2.2.454 (P27)","9","9","2.4533332E7","2.4535578E7","4892","0.02","0","8.8","0.01","0.001","0.000","0.000","0","0","0","0","0","22.7","29.7","14.9","8.0","2.9","8.8","2.5","1.8","8.7","0.01","0.001","0.000","0.000","0","0","0","0","0","0","0.73","0.01","0.000","0","0","0","0","0","0","9.2","22.4","24.9","27.8","9.8","2.2","0.80","0.23","1.9","0.73","0.01","0.000","0","0","0","0","0","0","0","0","4.765000000000001","0.01","5.0E-4","0.0","0.0","0.0","0.0","0.0","0.0","4.6","22.549999999999997","27.299999999999997","21.35","8.9","2.55","4.800000000000001","1.365","1.85","4.715","0.01","5.0E-4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.109999999999999","4.4079999999999995","9.517999999999999","2","0","2","2","0","2","91.256","27.126000000000005","68.6125","2.4699999999999998","2016-06-21 07:18:38","0","0","2.4699999999999998"
"2883","2016-07-09 23:17:31","2016-07-10 22:06:19","3.2.2.454 (P27)","3.2.2.454 (P27)","9","9","2.6061846E7","2.6062242E7","18920","0.07","0","6.9","0.01","0.000","0.000","0","0","0","0","0","0","25.2","29.8","15.3","8.1","3.0","7.7","2.5","1.6","6.9","0.01","0.000","0.000","0","0","0","0","0","0","0","0.41","0.003","0.000","0","0","0","0","0","0","4.4","37.0","34.6","10.8","6.8","3.4","1.4","0.61","0.45","0.41","0.003","0.000","0","0","0","0","0","0","0","0","3.6550000000000002","0.006500000000000001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.2","31.1","32.2","13.05","7.449999999999999","3.2","4.55","1.555","1.0250000000000001","3.6550000000000002","0.006500000000000001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.052","4.5600000000000005","13.612","2","2","4","4","4","8","22.168000000000003","26.578","29.525","2.4699999999999998","2016-06-21 07:18:38","0","0","2.4699999999999998"
"2883","2016-07-10 22:06:19","2016-07-12 01:28:55","3.2.2.454 (P27)","3.2.2.454 (P27)","9","9","3.9489402E7","3.9488724E7","15694","0.04","0","7.2","0.01","0.002","0.000","0.000","0","0","0","0","0","24.3","31.7","13.7","8.2","3.2","7.4","2.6","1.7","7.2","0.01","0.001","0.000","0.000","0","0","0","0","0","0","0.64","0.01","0.000","0.000","0","0","0","0","0","10.3","27.4","24.3","21.7","11.0","2.2","0.92","0.46","1.2","0.62","0.01","0.000","0.000","0","0","0","0","0","0","0","3.92","0.01","0.001","0.0","0.0","0.0","0.0","0.0","0.0","5.15","25.85","28.0","17.7","9.6","2.7","4.16","1.53","1.45","3.91","0.01","5.0E-4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.3","5.928","13.228","1","0","1","1","1","2","80.104","27.674","62.71249999999999","2.4699999999999998","2016-06-21 07:18:38","0","0","2.4699999999999998"
"2883","2016-07-12 01:28:55","2016-07-13 00:17:45","3.2.2.454 (P27)","3.2.2.454 (P27)","9","9","3.3397444E7","3.3397688E7","20586","0.06","0","6.7","0.01","0.001","0.001","0.000","0","0","0","0","0","23.5","34.1","14.0","7.4","3.0","6.9","2.5","1.8","6.7","0.01","0.000","0.000","0.000","0","0","0","0","0","0","0.66","0.01","0.000","0","0","0","0","0","0","9.4","26.6","23.6","27.5","8.2","1.7","0.82","0.48","1.0","0.65","0.01","0.000","0","0","0","0","0","0","0","0","3.68","0.01","5.0E-4","5.0E-4","0.0","0.0","0.0","0.0","0.0","4.7","25.05","28.85","20.75","7.8","2.35","3.8600000000000003","1.49","1.4","3.6750000000000003","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.03","5.776","13.806","0","0","0","0","0","0","84.048","26.441000000000003","64.13062500000001","2.4699999999999998","2016-06-21 07:18:37","0","0","2.4699999999999998"
"2883","2016-07-13 00:17:45","2016-07-13 23:06:33","3.2.2.454 (P27)","3.2.2.454 (P27)","9","9","3.4287364E7","3.4287038E7","16242","0.05","0","7.3","0.01","0.002","0.001","0.000","0","0","0","0","0","23.5","33.3","13.9","7.7","3.1","7.3","2.5","1.5","7.3","0.01","0.001","0.001","0.000","0","0","0","0","0","0","0.71","0.01","0.000","0","0","0","0","0","0","10.9","32.4","25.4","17.0","8.8","2.0","1.0","0.53","1.1","0.70","0.01","0.000","0","0","0","0","0","0","0","0","4.005","0.01","0.001","5.0E-4","0.0","0.0","0.0","0.0","0.0","5.45","27.95","29.349999999999998","15.45","8.25","2.55","4.15","1.5150000000000001","1.3","4.0","0.01","5.0E-4","5.0E-4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.548","6.231999999999999","11.78","5","2","8","7","5","12","66.096","27.674","54.85875","2.4699999999999998","2016-06-21 07:18:38","0","0","2.4699999999999998"
